name,logo,mitra_brand_name,location,link
SERA - System Administrator ,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/e3a8716c-fd6b-11ee-9648-aa9bf47860c9
SERA - Cloud DevOps Engineer ,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/31c4ffd3-fd6a-11ee-898b-b6ab8475905a
AIHO - PDCA & System Management,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/f54ac95f-fdfc-11ee-9648-aa9bf47860c9
AIHO – Corporate Management System Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/bdaadcce-fda4-11ee-9648-aa9bf47860c9
SERA – Artificial Intelligence Engineer ,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/653ecba5-fd63-11ee-865e-fae64678b8c1
SERA - Data Engineer ,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/99db0aad-fd60-11ee-9648-aa9bf47860c9
Commercial Data & Operation Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_53a72f64-8e58-40c0-810d-1828e1b0aab1.jpg,Lazada,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/aed64ced-1c3e-40f4-8c92-3fae1469cbc4/641d08df-fc9c-11ee-be48-1676ae1015eb
Data Analyst Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_53a72f64-8e58-40c0-810d-1828e1b0aab1.jpg,Lazada,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/aed64ced-1c3e-40f4-8c92-3fae1469cbc4/865b7b94-f639-11ee-bf75-32cfa9fc582e
"Data Analyst Intern (Goro, Kelapa Gading)",https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_53a72f64-8e58-40c0-810d-1828e1b0aab1.jpg,Lazada,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/aed64ced-1c3e-40f4-8c92-3fae1469cbc4/abb6b131-fd62-11ee-9648-aa9bf47860c9
"Performance and Data Analyst Intern (Goro, Kelapa Gading)",https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_53a72f64-8e58-40c0-810d-1828e1b0aab1.jpg,Lazada,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/aed64ced-1c3e-40f4-8c92-3fae1469cbc4/577683b6-fa24-11ee-9129-da28f9df4d8d
Intern - Mobile & AI Programmer (HQ Serpong),https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_63c4636e-5337-4bf1-aa68-cd3efbca0a4d.png,Asia Pulp & Paper Sinar Mas,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d2235aac-8aea-43f8-a976-a96dda694fd5/7ff7cf07-fd2c-11ee-be48-1676ae1015eb
Intern - IT Web Programmer (HQ Thamrin),https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_63c4636e-5337-4bf1-aa68-cd3efbca0a4d.png,Asia Pulp & Paper Sinar Mas,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d2235aac-8aea-43f8-a976-a96dda694fd5/bd4a19ee-fd2b-11ee-9fea-06679b4bd1c5
Intern - Management System (Mill Tangerang),https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_63c4636e-5337-4bf1-aa68-cd3efbca0a4d.png,Asia Pulp & Paper Sinar Mas,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d2235aac-8aea-43f8-a976-a96dda694fd5/55fe8b03-fe73-11ee-bcd1-e26d212b611d
Intern - Web Programmer (HQ Thamrin),https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_63c4636e-5337-4bf1-aa68-cd3efbca0a4d.png,Asia Pulp & Paper Sinar Mas,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d2235aac-8aea-43f8-a976-a96dda694fd5/f3e5868c-fe57-11ee-ac63-7e456e52b7d0
Intern - QA Assurance Tech (HQ Thamrin),https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_63c4636e-5337-4bf1-aa68-cd3efbca0a4d.png,Asia Pulp & Paper Sinar Mas,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d2235aac-8aea-43f8-a976-a96dda694fd5/baaeb933-fe55-11ee-9733-ca7bef2c0196
Intern - UI/UX (HQ Thamrin),https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_63c4636e-5337-4bf1-aa68-cd3efbca0a4d.png,Asia Pulp & Paper Sinar Mas,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d2235aac-8aea-43f8-a976-a96dda694fd5/2b4e8f74-fe54-11ee-9733-ca7bef2c0196
Intern - Master Data Governance (HQ Serpong),https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_63c4636e-5337-4bf1-aa68-cd3efbca0a4d.png,Asia Pulp & Paper Sinar Mas,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d2235aac-8aea-43f8-a976-a96dda694fd5/f3e3bd94-fe2c-11ee-ac63-7e456e52b7d0
Intern - IT Human Resource (HQ Serpong),https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_63c4636e-5337-4bf1-aa68-cd3efbca0a4d.png,Asia Pulp & Paper Sinar Mas,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d2235aac-8aea-43f8-a976-a96dda694fd5/07993a13-fd2b-11ee-877d-ee833f3bb5c3
Intern - IT Finance Accounting Technical (HQ Serpong),https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_63c4636e-5337-4bf1-aa68-cd3efbca0a4d.png,Asia Pulp & Paper Sinar Mas,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d2235aac-8aea-43f8-a976-a96dda694fd5/bc57424f-fd29-11ee-be48-1676ae1015eb
